Title,Author(s),Year,Objective/Purpose,Methodology,Results,DOI,Link,ScopusID,Search Link,Direct Link
Conditional Generative Adversarial Networks with Optimized Machine Learning for Fault Detection of Triplex Pump in Industrial Digital Twin,Sayed A.,2024,,N/A,N/A,10.3390/pr12112357,,85210283427,https://api.elsevier.com/content/abstract/scopus_id/85210283427,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210283427&origin=inward
Optimal energy management in smart energy systems: A deep reinforcement learning approach and a digital twin case-study,Bousnina D.,2024,,N/A,N/A,10.1016/j.segy.2024.100163,,85207645348,https://api.elsevier.com/content/abstract/scopus_id/85207645348,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207645348&origin=inward
Hydrodynamic model-driven evolutionary algorithm-based operation optimization of an experimental drainage pumping station,Li X.,2024,,N/A,N/A,10.2166/wcc.2024.405,,85211357333,https://api.elsevier.com/content/abstract/scopus_id/85211357333,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211357333&origin=inward
Real-time monitoring and optimization of a large-scale heat pump prone to fouling - towards a digital twin framework,Aguilera J.J.,2024,,N/A,N/A,10.1016/j.apenergy.2024.123274,,85191160462,https://api.elsevier.com/content/abstract/scopus_id/85191160462,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191160462&origin=inward
A virtual test rig for performance and efficiency assessment of heat pump thermal management system for battery electric vehicles,Rolando L.,2024,,N/A,N/A,10.1016/j.applthermaleng.2024.123055,,85189663291,https://api.elsevier.com/content/abstract/scopus_id/85189663291,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189663291&origin=inward
An Effective Digital Twin Modeling Method for Infrastructure: Application to Smart Pumping Stations,Feng F.,2024,,N/A,N/A,10.3390/buildings14040863,,85191403583,https://api.elsevier.com/content/abstract/scopus_id/85191403583,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191403583&origin=inward
An uncertainty approach for Electric Submersible Pump modeling through Deep Neural Network,Almeida Costa E.,2024,,N/A,N/A,10.1016/j.heliyon.2024.e24047,,85182874965,https://api.elsevier.com/content/abstract/scopus_id/85182874965,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182874965&origin=inward
Digitally twin driven ship cooling pump fault monitoring system and application case,Su S.,2024,,N/A,N/A,10.21278/brod75403,,85207555644,https://api.elsevier.com/content/abstract/scopus_id/85207555644,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207555644&origin=inward
"Monitoring and simulation-based optimization of two multi-apartment NZEBs with heat pump, solar thermal and PV",Ochs F.,2024,,N/A,N/A,10.1080/19401493.2023.2227605,,85163669032,https://api.elsevier.com/content/abstract/scopus_id/85163669032,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163669032&origin=inward
An Efficient Fault Diagnosis Framework for Digital Twins Using Optimized Machine Learning Models in Smart Industrial Control Systems,Zayed S.M.,2023,,N/A,N/A,10.1007/s44196-023-00241-6,,85159861274,https://api.elsevier.com/content/abstract/scopus_id/85159861274,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159861274&origin=inward
A Digital Twin Approach to City Block Renovation Using RES Technologies,Bocullo V.,2023,,N/A,N/A,10.3390/su15129307,,85164149256,https://api.elsevier.com/content/abstract/scopus_id/85164149256,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164149256&origin=inward
A time-evolving digital twin tool for engineering dynamics applications,Edington L.,2023,,N/A,N/A,10.1016/j.ymssp.2022.109971,,85143806391,https://api.elsevier.com/content/abstract/scopus_id/85143806391,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143806391&origin=inward
Principles of creating a digital twin prototype for the process of alkylation of benzene with propylene based on a neural network,Kichatov K.G.,2023,,N/A,N/A,10.32362/2410-6593-2023-18-5-482-497,,85180653148,https://api.elsevier.com/content/abstract/scopus_id/85180653148,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180653148&origin=inward
Digital Twin-Based Automated Fault Diagnosis in Industrial IoT Applications,Alshathri S.,2023,,N/A,N/A,10.32604/cmc.2023.034048,,85148227180,https://api.elsevier.com/content/abstract/scopus_id/85148227180,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148227180&origin=inward
DEVELOPMENT OF THE DIGITAL-TWIN FOR BUILDING FACILITIES (PART 3): A COMPARISON OF METAHEURISTICS AND REINFORCEMENT LEARNING FOR OPTIMAL CONTROLS,Matsuda Y.,2022,,N/A,N/A,10.3130/aije.87.222,,85125964526,https://api.elsevier.com/content/abstract/scopus_id/85125964526,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125964526&origin=inward
Development of a digital twin for enzymatic hydrolysis processes,Appl C.,2021,,N/A,N/A,10.3390/pr9101734,,85116066799,https://api.elsevier.com/content/abstract/scopus_id/85116066799,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116066799&origin=inward
A multi-energy system optimisation software for advanced process control using hypernetworks and a micro-service architecture,Jones S.,2021,,N/A,N/A,10.1016/j.egyr.2021.08.159,,85122645583,https://api.elsevier.com/content/abstract/scopus_id/85122645583,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122645583&origin=inward
MBSE development capabilities for digital twins,Zimmermann T.C.,2020,,N/A,N/A,10.3139/104.112312,,85087378639,https://api.elsevier.com/content/abstract/scopus_id/85087378639,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087378639&origin=inward
Multi-Dimensional Digital Twin Modeling for Fault Diagnosis of Industrial Centrifugal Pump,Duan Z.,2026,,N/A,N/A,10.28991/HIJ-2026-07-01-020,,105038108155,https://api.elsevier.com/content/abstract/scopus_id/105038108155,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105038108155&origin=inward
Model–data hybrid thermal management and health monitoring of the space station application fluid loop,Liu C.,2026,,N/A,N/A,10.1016/j.rineng.2026.109387,,105029252258,https://api.elsevier.com/content/abstract/scopus_id/105029252258,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029252258&origin=inward
Conditional Generative Adversarial Networks with Optimized Machine Learning for Fault Detection of Triplex Pump in Industrial Digital Twin,Sayed A.,2024,,N/A,N/A,10.3390/pr12112357,,85210283427,https://api.elsevier.com/content/abstract/scopus_id/85210283427,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210283427&origin=inward
Real-time monitoring and optimization of a large-scale heat pump prone to fouling - towards a digital twin framework,Aguilera J.J.,2024,,N/A,N/A,10.1016/j.apenergy.2024.123274,,85191160462,https://api.elsevier.com/content/abstract/scopus_id/85191160462,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191160462&origin=inward
Transfer learning-based multiple digital twin-assisted intelligent mechanical fault diagnosis,Liu S.,2024,,N/A,N/A,10.1088/1361-6501/ad0683,,85177980044,https://api.elsevier.com/content/abstract/scopus_id/85177980044,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177980044&origin=inward
An Efficient Fault Diagnosis Framework for Digital Twins Using Optimized Machine Learning Models in Smart Industrial Control Systems,Zayed S.M.,2023,,N/A,N/A,10.1007/s44196-023-00241-6,,85159861274,https://api.elsevier.com/content/abstract/scopus_id/85159861274,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159861274&origin=inward
Digital Twin-Based Automated Fault Diagnosis in Industrial IoT Applications,Alshathri S.,2023,,N/A,N/A,10.32604/cmc.2023.034048,,85148227180,https://api.elsevier.com/content/abstract/scopus_id/85148227180,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148227180&origin=inward
A Novel Fault Diagnosis Method for Denoising Autoencoder Assisted by Digital Twin,Cai W.,2022,,N/A,N/A,10.1155/2022/5077134,,85135206541,https://api.elsevier.com/content/abstract/scopus_id/85135206541,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135206541&origin=inward
The digital twin realization of an ejector for multiphase flows,Mazzuto G.,2021,,N/A,N/A,10.3390/en14175533,,85114498903,https://api.elsevier.com/content/abstract/scopus_id/85114498903,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114498903&origin=inward
A gradient boosting surrogate-assisted multi-objective optimization framework for steam thermal power plants,Khoshgoftar Manesh M.H.,2026,,N/A,N/A,10.1016/j.egyr.2026.109059,,105029376949,https://api.elsevier.com/content/abstract/scopus_id/105029376949,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029376949&origin=inward
Digital Twin-Based Lifecycle Methodology for Ensuring Safety of NPP/SMR I&C Systems,Kharchenko V.,2026,,N/A,N/A,10.3390/technologies14010046,,105029079950,https://api.elsevier.com/content/abstract/scopus_id/105029079950,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029079950&origin=inward
Benchmarking Control Strategies for Multi-Component Degradation (MCD) Detection in Digital Twin (DT) Applications,Barimah A.K.,2025,,N/A,N/A,10.3390/computers14090356,,105017125777,https://api.elsevier.com/content/abstract/scopus_id/105017125777,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017125777&origin=inward
Sensor-Based Monitoring Data from an Industrial System of Centrifugal Pumps,Martone A.,2025,,N/A,N/A,10.3390/data10060091,,105009333458,https://api.elsevier.com/content/abstract/scopus_id/105009333458,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009333458&origin=inward
Flow Heat Transfer Characteristics and Dynamic Response of Once-Through Cooling Water System in Nuclear Power Plants Under Complex Operating Conditions,Huang Q.,2025,,N/A,N/A,10.3390/en18051207,,86000649729,https://api.elsevier.com/content/abstract/scopus_id/86000649729,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=86000649729&origin=inward
An industrial digitalization platform for condition monitoring and predictive maintenance of pumping equipment,Short M.,2019,,N/A,N/A,10.3390/s19173781,,85071752913,https://api.elsevier.com/content/abstract/scopus_id/85071752913,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071752913&origin=inward
